timestamp,temperature (°C),humidity (%),rainfall (mm),wind_speed (m/s),pressure (hPa),light_intensity (lux),wind_direction (°)
"""2025-11-14 07:55:05""",23.6,56.1,0.0,0.0,1016.0,302.0,0.0
"""2025-11-14 08:10:05""",23.7,54.1,0.0,0.0,1016.0,322.0,0.0
"""2025-11-14 08:25:05""",23.1,55.3,0.0,0.0,1016.0,282.0,0.0
"""2025-11-14 08:40:06""",23.5,56.7,0.0,0.0,1015.0,323.0,0.0
"""2025-11-14 08:55:06""",23.3,55.8,0.0,0.0,1015.0,431.0,0.0
"""2025-11-14 09:10:06""",23.9,53.5,0.0,0.06,1015.0,458.0,270.0
"""2025-11-14 09:25:07""",23.9,54.0,0.0,0.0,1015.0,469.0,0.0
"""2025-11-14 09:40:07""",23.9,53.9,0.0,0.08,1015.0,606.0,295.0
"""2025-11-14 09:55:07""",24.4,52.7,0.0,0.08,1015.0,575.0,290.0
"""2025-11-14 10:10:08""",24.5,52.2,0.0,0.12,1014.0,678.0,270.0
"""2025-11-14 10:25:08""",24.8,52.6,0.0,0.0,1014.0,561.0,0.0
"""2025-11-14 10:40:09""",24.9,52.3,0.0,0.0,1014.0,761.0,0.0
"""2025-11-14 10:55:09""",25.7,49.4,0.0,0.0,1013.0,1158.0,0.0
"""2025-11-14 11:10:09""",24.7,51.8,0.0,0.0,1013.0,595.0,0.0
"""2025-11-14 11:25:10""",25.7,49.5,0.0,0.06,1013.0,661.0,180.0
"""2025-11-14 11:40:10""",26.1,49.5,0.0,0.0,1013.0,1069.0,0.0
"""2025-11-14 11:55:10""",25.6,49.8,0.0,0.06,1012.0,1495.0,270.0
"""2025-11-14 12:10:11""",26.3,48.1,0.0,0.13,1012.0,1485.0,323.0
"""2025-11-14 12:25:11""",26.4,47.3,0.0,0.0,1012.0,1482.0,0.0
"""2025-11-14 12:40:11""",26.8,46.9,0.0,0.05,1011.0,1435.0,270.0
"""2025-11-14 12:55:12""",26.5,47.8,0.0,0.05,1011.0,1120.0,319.0
"""2025-11-14 13:10:12""",26.2,47.6,0.0,0.09,1010.0,763.0,300.0
"""2025-11-14 13:25:12""",26.6,47.7,0.0,0.0,1010.0,1128.0,0.0
"""2025-11-14 14:55:33""",26.7,48.6,0.0,0.0,1007.0,1095.0,0.0
"""2025-11-14 15:10:34""",26.3,49.0,0.0,0.09,1007.0,1069.0,247.0
"""2025-11-14 15:25:34""",26.6,48.7,0.4,0.09,1007.0,1017.0,310.0
"""2025-11-14 15:40:34""",26.3,49.7,0.4,0.18,1007.0,896.0,286.0
